Sr. No.,Authority,Amendment / Notification Title,Notification No.,Notification Date,Effective Date,Existing Provision,Amended Provision,Applicability,Action Required,Status,Compliance Due Date,Remarks
1,NPPA,13th DPCO 2013 Amendment dated 30.06.2026,S.O. 3516(E),30-06-2026,30-06-2026,"in paragraph 11, for sub-paragraph (3), following sub-paragraph shall be substituted, namely:—","“(3) Notwithstanding anything contained in sub-paragraphs (1) and (2), in the case of any drug for
which a ceiling price or retail price has been fixed, the Government may fix and notify separate ceiling
price or retail price on an application made by the manufacturer or otherwise, for such drug with
specified therapeutic rationale, considering the type of packaging or pack size or dosage compliance
or content in the pack, namely, liquid, gaseous or any other form, in the unit dosage, as the case may
be, conforming to Indian Pharmacopeia or other standards as specified in the Drugs and Cosmetics
Act, 1940 (23 of 1940) and the rules made thereunder for the same drug.”;",All Pharma / Medical Device Product,,,,
2,NPPA,13th DPCO 2013 Amendment dated 30.06.2026,S.O. 3516(E),30-06-2026,30-06-2026,"in paragraph 14, in sub-paragraph (2), the following proviso shall be inserted, namely:—","“Provided that, in respect of scheduled formulations produced or available in the market
before the date of notification of the ceiling price, where the manufacturer demonstrates compliance
with the provisions of paragraph 24 and such other guidelines as may be issued by the Government
from time to time, the liability of the manufacturer for overcharging shall be restricted to the quantity
of stock traded through the distributor or retailer found to have effected such overcharging.” ;",All Pharma / Medical Device Product,,,,
3,NPPA,13th DPCO 2013 Amendment dated 30.06.2026,S.O. 3516(E),30-06-2026,30-06-2026,"in paragraph 15, in sub-paragraph (2), the following provisos shall be inserted, namely:—","“Provided that any other existing manufacturer launching the same new drug within twelve months of retail price fixation of such new drug under this paragraph shall not be required to apply:

Provided further that such manufacturer launching the new drug shall intimate the details of
launch in Form-IA within one month of the launch.”;",All Pharma / Medical Device Product,,,,
4,NPPA,13th DPCO 2013 Amendment dated 30.06.2026,S.O. 3516(E),30-06-2026,30-06-2026,"in paragraph 15, for sub-paragraph (5), the following sub-paragraph shall be substituted, namely:—","“(5) Where existing manufacturer of scheduled formulation fails to adhere to sub-paragraph (2), such
manufacturer shall be liable to deposit the overcharged amount over and above such price fixed and
notified by the Government, if any, along with interest thereon from the date of launch of the new drug,
in addition to the penalty.”;",All Pharma / Medical Device Product,,,,
5,NPPA,13th DPCO 2013 Amendment dated 30.06.2026,S.O. 3516(E),30-06-2026,30-06-2026,"in paragraph 15, for sub-paragraph (6), the following sub-paragraph shall be substituted, namely:—","“(6) No existing manufacturer of a scheduled formulation shall launch such a new drug at a price
higher than the latest retail price (plus local taxes as applicable) fixed by the Government for such
new drug during the preceding twelve months and in case such a manufacturer is found to sell such a
new drug at a price higher than the retail price (plus local taxes as applicable) fixed by the Government,
such manufacturer of the new drug shall be liable to deposit the overcharged amount along with
interest from the date of overcharge, in addition to the penalty.”;",All Pharma / Medical Device Product,,,,
6,NPPA,13th DPCO 2013 Amendment dated 30.06.2026,S.O. 3516(E),30-06-2026,30-06-2026,"in paragraph 24, in sub-paragraph (1), after the proviso, the following proviso shall be inserted, namely:—","“Provided further that where a manufacturer produces documentary evidence, upon demand,
demonstrating sufficient effort at disseminating the revision in price to all stakeholders including
through –
(i) circulation of the revised Market Retail Price list to dealers and retailers
immediately and in any case not later than two weeks of the date of such
notification, for display to consumers;
(ii) advertisement in at least two national newspapers immediately and in any case not
later than two weeks of the date of such notification, informing dealers, retailers,
and consumers about the price reduction;
(iii) issuing a revised or supplementary price list in Forms V or VI to dealers, retailers,
reflecting the revised prices;
(iv) creating a dedicated Drugs (Prices Control) Order Matters section on the homepage
of the company and upload details of the revised price notification and Market
Retail Price; and
(v) submitting batch-wise production details and stock position of the scheduled
formulations held by the company and distributors at the time of the price revision;
the overcharged amount for such manufacturer shall be calculated solely on the stock handled by each
retailer, distributor, or stockist found selling the formulation above the ceiling price (plus local taxes
as applicable) pertaining to that batch.”;",All Pharma / Medical Device Product,,,,
7,NPPA,13th DPCO 2013 Amendment dated 30.06.2026,S.O. 3516(E),30-06-2026,30-06-2026,"in paragraph 24, for sub-paragraph (3), the following sub-paragraph shall be substituted, namely:—","“(3) Every manufacturer shall issue a price list and supplementary price list, if required, in Form V or
Form-VI to the State Drugs Controllers and the Government indicating reference to such price fixation
or revision as covered by the order or Gazette notification issued by the Government, from time to
time.”;",All Pharma / Medical Device Product,,,,
8,NPPA,13th DPCO 2013 Amendment dated 30.06.2026,S.O. 3516(E),30-06-2026,30-06-2026,"in paragraph 24, for paragraph 29, the following shall be inserted, namely: —","“29. Maintenance of records and production thereof for inspection.- Every manufacturer shall
maintain records, in good order, for a period of not less than seven financial years immediately
preceding the current financial year, relating to the sales of individual active pharmaceutical
ingredients or bulk drugs manufactured or imported and marketed by him, as the case may be, and the
sales of formulations units and packs and also such other records as may be directed from time to time
by the Government, and the Government shall have the power to call for any record and to inspect
such records at the premises of the manufacturer:

Provided that where any proceeding has been initiated or pending in respect of the
manufacturer under this Order, such records shall be maintained in good order till the final disposal
of such proceedings.”;",All Pharma / Medical Device Product,,,,
9,NPPA,13th DPCO 2013 Amendment dated 30.06.2026,S.O. 3516(E),30-06-2026,30-06-2026,Form-1A Introduce,"in Schedule-II, after Form-I, the following form shall be inserted, namely:—Form – IA",New drrug,,,,
10,CDSCO,Restriction on Manufacturing and Sale of FDC - Chlorpheniramine Maleate and Phenylephrine Hydrochloride,S.O. 4595(E),18-18-2026,18-18-2026,-,"Fixed dose combinations containing Chlorpheniramine Maleate and Phenylephrine Hydrochloride, subject to the condition that the manufacturers of such drugs shall mention the warning “fixed dose combination shall not be used in children below four years of age” on the label and package insert or the promotional literature of the drug.",FDC - Chlorpheniramine Maleate and Phenylephrine Hydrochloride,,,,
