Year,Drug Name,Dosage form and strength,Unit,Ceiling Price,SO Number,SO date,WPI
2025,5-amino salicylic Acid (Mesalazine/Mesalamine),Suppository 500 mg,1 Suppository,,,,1.74028%
2025,5-amino salicylic Acid (Mesalazine/Mesalamine),Retention Enema (Foam),1 GM,,,,1.74028%
2025,5-amino salicylic Acid (Mesalazine/Mesalamine),Retention Enema (Liquid),1 ML,,,,1.74028%
2025,5-amino salicylic Acid,Tablet 400 mg,1 Tablet,8.06,1489(E),27-03-2025,1.74028%
2025,5-Fluorouracil,Injection 250 mg/5 ml,1 ML,2.08,1489(E),27-03-2025,1.74028%
2025,6-Mercaptopurine,Tablet 50 mg,1 Tablet,5.35,1489(E),27-03-2025,1.74028%
2025,Abacavir,Tablet 300 mg,1 Tablet,49.44,1489(E),27-03-2025,1.74028%
2025,Abacavir (A) + Lamivudine (B),Tablet 600 mg (A) + 300 mg (B),1 Tablet,73.58,1489(E),27-03-2025,1.74028%
2025,Acetazolamide,Tablet 250 mg,1 Tablet,4.13,1489(E),27-03-2025,1.74028%
2025,Acetazolamide,Capsule 250 mg,1 Capsule,5.14,1489(E),27-03-2025,1.74028%
2025,Acetylsalicylic acid,Enteric coated Tablet 75 mg,1 Tablet,0.36,1489(E),27-03-2025,1.74028%
2025,Acetylsalicylic acid,Conventional/Effervescent/ Dispersible/ Enteric coated Tablets 150 mg,1 Tablet,0.72,1489(E),27-03-2025,1.74028%
2025,Acetylsalicylic acid,Conventional / Effervescent / Dispersible / Enteric coated Tablets 325 mg,1 Tablet,0.68,1489(E),27-03-2025,1.74028%
2025,Actinomycin D,Powder for Injection 0.5 mg,1 Vial,336.79,1489(E),27-03-2025,1.74028%
2025,Acyclovir,Tablet 400 mg,1 Tablet,13.90,1489(E),27-03-2025,1.74028%
2025,Acyclovir,Tablet 200 mg,1 Tablet,7.74,1489(E),27-03-2025,1.74028%
2025,Acyclovir,Powder for Injection 250 mg,1 Vial,433.82,1489(E),27-03-2025,1.74028%
2025,Acyclovir,Powder for Injection 500 mg,1 Vial,537.65,1489(E),27-03-2025,1.74028%
2025,Acyclovir,Tablet 800 mg,1 Tablet,38.32,1489(E),27-03-2025,1.74028%
2025,Acyclovir,Ointment 3%,1 GM,11.87,1489(E),27-03-2025,1.74028%
2025,Acyclovir,Oral liquid 400 mg/5 mL (p),1 ML,1.38,1489(E),27-03-2025,1.74028%
2025,Adenosine,Injection 3 mg/mL,1 ML,94.48,1489(E),27-03-2025,1.74028%
2025,Adrenaline,Injection 1 mg/mL,1 ML,12.44,1489(E),27-03-2025,1.74028%
2025,Albendazole,Oral liquid 200 mg/5 mL(p),1 ML,1.82,1489(E),27-03-2025,1.74028%
2025,Albendazole,Tablet 400 mg,1 Tablet,7.16,1489(E),27-03-2025,1.74028%
2025,Albendazole,Chewable Tablet 400 mg,1 Tablet,8.27,1489(E),27-03-2025,1.74028%
2025,Allopurinol,Tablet 300 mg,1 Tablet,5.73,1489(E),27-03-2025,1.74028%
2025,Allopurinol,Tablet 100 mg,1 Tablet,1.92,1489(E),27-03-2025,1.74028%
2025,Alprostadil,Injection 0.5 mg/mL,1 ML,6213.02,1489(E),27-03-2025,1.74028%
2025,Amikacin,Injection 250 mg/mL,1 ML,55.11,1489(E),27-03-2025,1.74028%
2025,Amiodarone,Tablet 200 mg,1 Tablet,11.71,1489(E),27-03-2025,1.74028%
2025,Amiodarone,Tablet 100 mg,1 Tablet,6.25,1489(E),27-03-2025,1.74028%
2025,Amiodarone,Injection 50 mg/mL,1 ML,21.50,1489(E),27-03-2025,1.74028%
2025,Amitriptyline,Tablet 50 mg,1 Tablet,6.09,1489(E),27-03-2025,1.74028%
2025,Amitriptyline,Tablet 75 mg,1 Tablet,5.54,1489(E),27-03-2025,1.74028%
2025,Amitriptyline,Tablet 25 mg,1 Tablet,2.53,1489(E),27-03-2025,1.74028%
2025,Amitriptyline,Tablet 10 mg,1 Tablet,2.43,1489(E),27-03-2025,1.74028%
2025,Amlodipine,Tablet 2.5 mg,1 Tablet,1.82,1489(E),27-03-2025,1.74028%
2025,Amlodipine,Tablet 5 mg,1 Tablet,2.54,1489(E),27-03-2025,1.74028%
2025,Amlodipine,Tablet 10 mg,1 Tablet,5.54,1489(E),27-03-2025,1.74028%
2025,Amoxicillin,Capsule 250 mg,1 Capsule,2.48,1489(E),27-03-2025,1.74028%
2025,Amoxicillin,Capsule 500 mg,1 Capsule,7.49,1489(E),27-03-2025,1.74028%
2025,Amoxicillin,Oral liquid 250 mg/5 mL (p),1 ML,1.59,1489(E),27-03-2025,1.74028%
2025,Amoxicillin,Powder for Injection 250 mg,1 Vial,25.22,1489(E),27-03-2025,1.74028%
2025,Amoxicillin,Powder for Injection 500 mg,1 Vial,55.60,1489(E),27-03-2025,1.74028%
2025,Amoxicillin,Oral liquid 125 mg/5 mL (p),1 ML,1.04,1489(E),27-03-2025,1.74028%
2025,Amoxicillin (A) + Clavulanic acid (B),Powder for Injection 1 g (A) +200 mg (B),1 Vial,144.12,1489(E),27-03-2025,1.74028%
2025,Amoxicillin (A) + Clavulanic acid (B),Powder for Injection 500 mg (A) + 100 mg (B),1 Vial,103.11,1489(E),27-03-2025,1.74028%
2025,Amoxicillin (A) + Clavulanic acid (B),Dry Syrup 125 mg (A) + 31.25 (B) / 5 ml (p),1 ML,2.09,1489(E),27-03-2025,1.74028%
2025,Amoxicillin (A) + Clavulanic acid (B),Tablet 500 mg (A) + 125 mg (B),1 Tablet,18.62,1489(E),27-03-2025,1.74028%
2025,Amoxicillin (A) + Clavulanic acid (B),Oral liquid 200 mg (A) + 28.5 mg (B) / 5 mL (p),1 ML,2.06,1489(E),27-03-2025,1.74028%
2025,Amphotericin B,Amphotericin B(conventional) - Injection 50 mg/vial,1 Vial,231.36,1489(E),27-03-2025,1.74028%
2025,Amphotericin B Lipid,Injection 50 mg / vial,1 Vial,1920.60,1489(E),27-03-2025,1.74028%
2025,Amphotericin B Liposomal,Injection 50 mg / vial,1 Vial,6763.93,1489(E),27-03-2025,1.74028%
2025,Ampicillin,Powder for Injection 500 mg,1 Vial,14.50,1489(E),27-03-2025,1.74028%
2025,Ampicillin,Powder for Injection 1 gm,1 Vial,25.35,1489(E),27-03-2025,1.74028%
2025,Anti-rabies immunoglobulin,Injection 150 IU/ml,1 ML,3161.67,1489(E),27-03-2025,1.74028%
2025,Anti-rabies immunoglobulin,Injection 300 IU/ml,1 ML,111.47,1489(E),27-03-2025,1.74028%
2025,Anti-tetanus immunoglobulin,As licensed (250 IU),1 Vial,1266.45,1489(E),27-03-2025,1.74028%
2025,Anti-tetanus immunoglobulin,As licensed (500 IU),1 Vial,1908.39,1489(E),27-03-2025,1.74028%
2025,Anti-tetanus immunoglobulin,As licensed (1000 IU),1 Vial,2730.90,1489(E),27-03-2025,1.74028%
2025,Arsenic Trioxide,Injection 1 mg/ml,1 ML,31.07,1489(E),27-03-2025,1.74028%
2025,Artemether (A) + Lumefantrine (B),Tablet 40 mg (A) + 240 mg (B),1 Tablet,18.35,1489(E),27-03-2025,1.74028%
2025,Artemether (A) +Lumefantrine (B),Tablet 80 mg (A) + 480 mg (B),1 Tablet,25.95,1489(E),27-03-2025,1.74028%
2025,Artemether (A) + Lumefantrine (B),Tablet 20 mg (A) + 120 mg (B),1 Tablet,12.87,1489(E),27-03-2025,1.74028%
2025,Artesunate,Powder for Injection 60 mg,1 Vial,248.99,1489(E),27-03-2025,1.74028%
2025,Artesunate,Powder for Injection 120 mg,1 Vial,462.35,1489(E),27-03-2025,1.74028%
2025,Artesunate (A) + Sulphadoxine - Pyrimethamine (B),Combi pack (A+B) 1 Tablet 50 mg (A) + 1 Tablet (500 mg + 25 mg) (B),1 Combi Pack,22.94,1489(E),27-03-2025,1.74028%
2025,Ascorbic acid (Vitamin C),Tablet 100 mg,1 Tablet,0.24,1489(E),27-03-2025,1.74028%
2025,Ascorbic acid (Vitamin C),Tablet 500 mg,1 Tablet,1.57,1489(E),27-03-2025,1.74028%
2025,Atazanavir (A) + Ritonavir (B),Tablet 300 mg (A) + Tablet 100 mg (B),1 Tablet,101.57,1489(E),27-03-2025,1.74028%
2025,Atorvastatin,Tablet 40 mg,1 Tablet,19.64,1489(E),27-03-2025,1.74028%
2025,Atorvastatin,Tablet 20 mg,1 Tablet,12.78,1489(E),27-03-2025,1.74028%
2025,Atorvastatin,Tablet 10 mg,1 Tablet,5.06,1489(E),27-03-2025,1.74028%
2025,Atorvastatin,Tablet 80 mg,1 Tablet,41.29,1489(E),27-03-2025,1.74028%
2025,Atracurium,Injection 10 mg/ml,1 ML,17.28,1489(E),27-03-2025,1.74028%
2025,Atropine,Drops 1%,1 ML,4.01,1489(E),27-03-2025,1.74028%
2025,Atropine,Ointment 1%,1 GM,4.79,1489(E),27-03-2025,1.74028%
2025,Atropine,Injection 0.6 mg/mL,1 ML,6.98,1489(E),27-03-2025,1.74028%
2025,Azathioprine,Tablet 50 mg,1 Tablet,11.46,1489(E),27-03-2025,1.74028%
2025,Azathioprine,Tablet 25 mg (p),1 Tablet,7.37,1489(E),27-03-2025,1.74028%
2025,Azithromycin,Powder for Injection 500 mg,1 Vial,208.28,1489(E),27-03-2025,1.74028%
2025,Azithromycin,Tablet 250 mg,1 Tablet,11.87,1489(E),27-03-2025,1.74028%
2025,Azithromycin,Tablet 500 mg,1 Tablet,23.98,1489(E),27-03-2025,1.74028%
2025,Azithromycin,Oral liquid 200 mg/5 mL (p),1 ML,3.47,1489(E),27-03-2025,1.74028%
2025,Azithromycin,Capsule 250 mg,1 Capsule,10.80,1489(E),27-03-2025,1.74028%
2025,Azithromycin,Tablet 1000 mg,1 Tablet,58.79,1489(E),27-03-2025,1.74028%
2025,Azithromycin,Capsule 500 mg,1 Capsule,19.36,1489(E),27-03-2025,1.74028%
2025,Baclofen,Tablet 20 mg,1 Tablet,16.56,1489(E),27-03-2025,1.74028%
2025,Baclofen,Tablet 10 mg,1 Tablet,12.11,1489(E),27-03-2025,1.74028%
2025,Baclofen,Tablet 5 mg,1 Tablet,6.48,1489(E),27-03-2025,1.74028%
2025,BCG vaccine,As licensed,Each dose (0.10 ML),8.15,1489(E),27-03-2025,1.74028%
2025,Bendamustine hydrochloride,Injection 100 mg/vial,1 Vial,5032.89,1489(E),27-03-2025,1.74028%
2025,Benzathine benzylpenicillin,Powder for Injection 12 lac units,1 Vial,20.15,1489(E),27-03-2025,1.74028%
2025,Benzathine benzylpenicillin,Powder for Injection 6 lac units,1 Vial,11.89,1489(E),27-03-2025,1.74028%
2025,Benzoyl peroxide,Gel 2.5%,1 GM,3.68,1489(E),27-03-2025,1.74028%
2025,Benzoyl peroxide,Gel 5%,1 GM,8.11,1489(E),27-03-2025,1.74028%
2025,Benzoyl peroxide,Gel 3.5%,1 GM,10.29,1489(E),27-03-2025,1.74028%
2025,Betamethasone,Injection 4 mg/mL,1 ML,4.82,1489(E),27-03-2025,1.74028%
2025,Betamethasone valerate,Cream 0.05%,1 GM,0.68,1489(E),27-03-2025,1.74028%
2025,Betamethasone valerate,Lotion 0.05%,1 ML,,,,1.74028%
2025,Betamethasone valerate,Gel 0.05%,1 GM,,,,1.74028%
2025,Betamethasone valerate,Cream 0.1%,1 GM,1.06,1489(E),27-03-2025,1.74028%
2025,Bicalutamide,Tablet 50 mg,1 Tablet,44.05,1489(E),27-03-2025,1.74028%
2025,Bisacodyl,Tablet 5 mg,1 Tablet,1.19,1489(E),27-03-2025,1.74028%
2025,Bisacodyl,Suppository 5 mg,1 Suppository,10.15,1489(E),27-03-2025,1.74028%
2025,Bleomycin,Powder for Injection 15 units,1 Vial,689.20,1489(E),27-03-2025,1.74028%
2025,Bortezomib,Powder for Injection 2 mg,1 Vial,5352.05,1489(E),27-03-2025,1.74028%
2025,Budesonide,Respirator solution for use in nebulizer 0.5 mg/mL,1 ML,12.11,1489(E),27-03-2025,1.74028%
