Sr. No.,Material Code,Product Name,Pack Size,Generic Name,Notification No.,Notification Date,Effective Date,Ban Reason,Status,Remarks
1,,,,Acetyl Salicylic Acid + Ethoheptazine,S.O. 3068(E),11-06-2026,Immediately,"involve risk to human beings / No therapeutic justification for the fixed dose combination of
these ingredients",,
2,,,,Aloe vera + Jojoba oil + Wheat germ oil + Tea tree oil,S.O. 3069(E),11-06-2026,Immediately,"involve risk to human beings / No therapeutic justification for the fixed dose combination of
these ingredients",,
3,,,,Amoxicillin + Serratiopeptidase + Lactobacillus Sporogenes,S.O. 3070(E),11-06-2026,Immediately,"involve risk to human beings / No therapeutic justification for the fixed dose combination of
these ingredients",,
4,,,,Dicyclomine + Paracetamol + Clidinium Bromide + Chlordiazepoxide,S.O. 3071(E),11-06-2026,Immediately,"involve risk to human beings / No therapeutic justification for the fixed dose combination of
these ingredients",,
5,,,,Amoxicillin + Serratiopeptidase,S.O. 3072(E),11-06-2026,Immediately,"involve risk to human beings / No therapeutic justification for the fixed dose combination of
these ingredients",,
6,,,,Aloe Extract + Allantoin + Alphatocopherol Acetate + D-Penthenol + Vitamin A,S.O. 3073(E),11-06-2026,Immediately,"involve risk to human beings / No therapeutic justification for the fixed dose combination of
these ingredients",,
7,,,,Aloe Extract + Vitamin E + Dimethicone + Glycerine,S.O. 3074(E),11-06-2026,Immediately,"involve risk to human beings / No therapeutic justification for the fixed dose combination of
these ingredients",,
8,,,,Aloe Vera + Jojoba Oil + Vitamin E,S.O. 3075(E),11-06-2026,Immediately,"involve risk to human beings / No therapeutic justification for the fixed dose combination of
these ingredients",,
9,,,,Aloe vera + Orange oil,S.O. 3076(E),11-06-2026,Immediately,"involve risk to human beings / No therapeutic justification for the fixed dose combination of
these ingredients",,
10,,,,Aloe vera + Vitamin E + Herbal,S.O. 3077(E),11-06-2026,Immediately,"involve risk to human beings / No therapeutic justification for the fixed dose combination of
these ingredients",,
11,,,,Dicyclomine + Paracetamol + Clidinium Bromide,S.O. 3078(E),11-06-2026,Immediately,"involve risk to human beings / No therapeutic justification for the fixed dose combination of
these ingredients",,
12,,,,Paracetamol + Lignocaine,S.O. 3079(E),11-06-2026,Immediately,"involve risk to human beings / No therapeutic justification for the fixed dose combination of
these ingredients",,
13,,,,Gliclazide + Chromium Picolinate,S.O. 3080(E),11-06-2026,Immediately,"involve risk to human beings / No therapeutic justification for the fixed dose combination of
these ingredients",,
14,,,,Amoxicillin + Cloxacillin + Lactic acid bacillus + Serratiopeptidase,S.O. 3081(E),11-06-2026,Immediately,"involve risk to human beings / No therapeutic justification for the fixed dose combination of
these ingredients",,
15,,,,Cefadroxyl + Probenecid,S.O. 3082(E),11-06-2026,Immediately,"involve risk to human beings / No therapeutic justification for the fixed dose combination of
these ingredients",,
16,,,,Cefuroxime + Serratiopeptidase,S.O. 3083(E),11-06-2026,Immediately,"involve risk to human beings / No therapeutic justification for the fixed dose combination of
these ingredients",,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
