"Notification
S.No",Medicines,Formulations,Units,Manufacturer Name,Marketing  Company,Retail Prices (Rs.) (Exclusive Local Taxes/GST),SO NO,SO Date,Last Valid Date
1,"Amlodipine, Telmisartan and 
Metoprolol Succinate 
(Extended Release) Tablets ","Each Film Coated Bilayered Tablet Contains: 
Amlodipine Besilate IP Eq. to Amlodipine 5 mg 
Telmisartan IP 40 mg 
Metoprolol Succinate IP 23.75 mg 
Eq. to Metoprolol Tartrate 25 mg 
(As Extended Release Form) ",1 Tablet,M/s Akums Drugs & Pharmaceuticals Ltd.,M/s Ipca Laboratories Ltd. ,12.03,3709(E),08-07-2026,07-07-2027
2,Amoxicillin and Potassium Clavulanate Dispersible Tablets ,"Each Uncoated Dispersible Tablet contains: 
Amoxicillin Trihydrate IP Eq. to Amoxicillin 400 mg  
Potassium Clavulanate Diluted IP 
Eq. to Clavulanic Acid 57 mg ",1 Tablet,"M/s Malik Lifesciences Pvt. Ltd.
",M/s Mankind Pharma Ltd.,12.03,3709(E),08-07-2026,07-07-2027
3,Amoxycillin and Potassium Clavulanate Tablets,"Each film coated tablet contains: 
Amoxicillin Trihydrate IP 
equivalent to Amoxicillin 250 mg  
Potassium Clavulanate Diluted IP 
equivalent to Clavulanic Acid 125 mg ",1 Tablet,"M/s Alkem Health Science 
(A unit of Alkem Laboratories Ltd.)
 ",M/s Alkem Wellness Ltd.,19.53,3709(E),08-07-2026,07-07-2027
4,Aspirin GastroResistant and Atorvastatin Capsules ,"Each hard gelatin capsule contains: 
Aspirin IP 75 mg 
(as gastro-resistant white colored pellets) 
Atorvastatin Calcium IP 
eq. to Atorvastatin 20 mg 
(as green colored spherical pellets)",1 Capsule,M/s Windlas Biotech Ltd.,"M/s Aristo Pharmaceuticals 
Pvt. Ltd.",3.67,3709(E),08-07-2026,07-07-2027
5,"Aspirin, Atorvastatin and Clopidogrel Capsules","Each hard gelatin capsule contains: 
Aspirin IP 75 mg 
(As Gastro-resistant tablet) 
Atorvastatin Calcium IP 
equivalent to Atorvastatin 20 mg 
(As film coated tablet) 
Clopidogrel Bisulphate IP 
equivalent to Clopidogrel 75 mg",1 Capsule,M/s Safetab Life Science,M/s Alkem Wellness Ltd.,8.86,3709(E),08-07-2026,07-07-2027
6,Atorvastatin and Ezetimibe Tablets,"Each Film Coated Tablet Contains: 
Atorvastatin Calcium IP 
Eq. to Atorvastatin 20 mg 
Ezetimibe IP 10 mg ",1 Tablet,M/s Mascot Health Series Pvt. Ltd.,"M/s Primus Remedies Pvt. 
Ltd.",31.73,3709(E),08-07-2026,07-07-2027
7,Atorvastatin and Ezetimibe tablets,"Each Film Coated Tablet Contains: 
Atorvastatin Calcium IP 
Eq. to Atorvastatin 10 mg 
Ezetimibe IP 10 mg",1 Tablet,M/s Mascot Health Series Pvt. Ltd.,"M/s Primus Remedies Pvt. 
Ltd.",21.36,3709(E),08-07-2026,07-07-2027
8,"Atorvastatin and 
Clopidogrel Tablets","Each uncoated bilayer tablet contains: 
Atorvastatin Calcium IP 
equivalent to Atorvastatin 10 mg 
Clopidogrel Bisulphate IP 
equivalent to Clopidogrel 75 mg",1 Tablet,M/s Sun Pharma Laboratories Limited,"M/s Sun Pharmaceutical Industries Ltd. and  
M/s Sun Pharma Laboratories Limited",14.87,3709(E),08-07-2026,07-07-2027
9,Atorvastatin and Clopidogrel Tablets,"Each uncoated bilayer tablet contains: 
Atorvastatin Calcium IP 
equivalent to Atorvastatin 20 mg
Clopidogrel Bisulphate IP 
equivalent to Clopidogrel 75 mg",1 Tablet,M/s Sun Pharma Laboratories Limited,"M/s Sun Pharmaceutical Industries Ltd. and  
M/s Sun Pharma Laboratories Limited",15.01,3709(E),08-07-2026,07-07-2027
10,Bisoprolol Fumarate and Telmisartan Tablets,"Each Film Coated Tablet Contains: 
Bisoprolol Fumarate IP 5 mg 
Telmisartan IP 40 mg",1 Tablet,M/s Akums Drugs & Pharmaceuticals Ltd.,"M/s Workcell Solutions Pvt. 
Ltd.",12.71,3709(E),08-07-2026,07-07-2027
11,Bisoprolol Fumarate and Telmisartan Tablets,"Each Film Coated Tablet Contains: 
Bisoprolol Fumarate IP 2.5 mg 
Telmisartan IP 40 mg",1 Tablet,M/s Akums Drugs & Pharmaceuticals Ltd.,M/s Workcell Solutions Pvt. Ltd.,10.83,3709(E),08-07-2026,07-07-2027
12,Cetirizine Hydrochloride Drops,"Each ml contains: 
Cetirizine Hydrochloride IP 10 mg",1 ML,M/s Indoco Remedies Limited,M/s Indoco Remedies Limited,8.55,3709(E),08-07-2026,07-07-2027
13,Clobazam Oral Suspension,Each ml contains: Clobazam IP 2.5 mg,1 ML,M/s Pure and Cure Healthcare Pvt. Ltd.,M/s Linux Laboratories Private Limited,2.80,3709(E),08-07-2026,07-07-2027
14,Dapagliflozin and Telmisartan Tablets ,"Each film coated tablet contains: 
Dapagliflozin Propanediol USP
eq. to Dapagliflozin 10 mg 
Telmisartan IP 40 mg",1 Tablet,M/s Exemed Pharmaceuticals,M/s Mankind Pharma Ltd.,19.30,3709(E),08-07-2026,07-07-2027
15,"Empagliflozin, Sitagliptin and 
Metformin Hydrochloride (ER) Tablets","Each Film Coated Bilayered Tablet Contains: 
Empagliflozin 10 mg 
Sitagliptin Phosphate Monohydrate IP 
Eq. to Sitagliptin 100 mg 
Metformin Hydrochloride IP 1000 mg 
(As Extended Release)",1 Tablet,M/s Pure and Cure Healthcare Pvt. Ltd.,M/s Medley Pharmaceuticals Ltd.,14.88,3709(E),08-07-2026,07-07-2027
16,"Empagliflozin, Sitagliptin and Metformin Hydrochloride (ER) Tablets","Each Film Coated Bilayered Tablet Contains: 
Empagliflozin 25 mg 
Sitagliptin Phosphate Monohydrate IP 
Eq. to Sitagliptin 100 mg 
Metformin Hydrochloride IP 1000 mg 
(As Extended Release)",1 Tablet,M/s Pure and Cure Healthcare Pvt. Ltd.,"M/s Medley Pharmaceuticals 
Ltd.",17.17,3709(E),08-07-2026,07-07-2027
17,Nebivolol Hydrochloride and Amlodipine Tablets,"Each uncoated tablet contains: 
Nebivolol Hydrochloride IP 
equivalent to Nebivolol 5 mg 
Amlodipine Besilate IP 
equivalent to Amlodipine 5 mg ",1 Tablet,M/s Windlas Biotech Ltd.,M/s Alkem Wellness Ltd.,13.72,3709(E),08-07-2026,07-07-2027
18,Olmesartan Medoxomil and Amlodipine Tablets,"Each film coated tablet contains: 
Olmesartan Medoxomil IP 20 mg 
Amlodipine Besilate IP 
eq. to Amlodipine 5 mg ",1 Tablet,M/s Windlas Biotech Ltd.,M/s Alkem Wellness Ltd.,14.80,3709(E),08-07-2026,07-07-2027
19,"Phenylephrine HCI, Chlorpheniramine Maleate, Boric Acid and Hydroxypropylmethyl Cellulose Eye Drops ","Composition: 
Phenylephrine HCI IP 0.12%w/v 
Chlorpheniramine Maleate IP 0.2% w/v 
Boric Acid IP 1.25%w/v 
Hydroxypropylmethyl Cellulose IP 0.3% w/v 
Benzalkonium Chloride IP 0.01%w/v",1 ML,M/s Appasamy Ocular Devices Pvt. Ltd.,M/s Mankind Pharma Ltd.,8.35,3709(E),08-07-2026,07-07-2027
20,Polmacoxib and Paracetamol tablets,"Each uncoated tablet contains: 
Polmacoxib IH 2 mg
Paracetamol IP 325 mg",1 Tablet,M/s Hetero Labs Ltd.,"M/s La Renon Healthcare 
Pvt. Ltd.",11.79,3709(E),08-07-2026,07-07-2027
21,Telmisartan and Chlorthalidone Tablets,"Each uncoated bilayered tablet contains: 
Telmisartan IP 40 mg 
Chlorthalidone IP 12.5 mg ",1 Tablet,M/s Windlas Biotech Ltd.,M/s Alkem Wellness Ltd.,13.03,3709(E),08-07-2026,07-07-2027
22,Telmisartan and Chlorthalidone Tablets,"Each uncoated bilayered tablet contains: 
Telmisartan IP 80 mg 
Chlorthalidone IP 12.5 mg",1 Tablet,M/s Windlas Biotech Ltd.,M/s Alkem Wellness Ltd.,21.40,3709(E),08-07-2026,07-07-2027
23,Telmisartan and Chlorthalidone Tablets,"Each uncoated bilayered tablet contains:  
Telmisartan IP 40 mg 
Chlorthalidone IP 6.25 mg",1 Tablet,M/s Windlas Biotech Ltd.,M/s Alkem Wellness Ltd.,11.80,3709(E),08-07-2026,07-07-2027
24,Telmisartan and Cilnidipine Tablets,"Each Film coated tablet contains: 
Telmisartan IP 40 mg 
Cilnidipine IP 10 mg",1 Tablet,M/s Synokem Pharmaceuticals Limited,"M/s FDC Limited
 M/s Alkem Wellness Ltd.",13.24,3709(E),08-07-2026,07-07-2027
25,"Telmisartan, Cilnidipine and Chlorthalidone Tablets","Each film coated tablet contains: 
Telmisartan IP 40 mg
Cilnidipine IP 10 mg 
Chlorthalidone IP 6.25 mg",1 Tablet,M/s SynokemPharmaceuticals Limited,M/s Alkem Wellness Ltd.,16.17,3709(E),08-07-2026,07-07-2027
26,Torsemide and Spironolactone Tablets,"Each Uncoated Tablet Contains:
Torsemide IP 10 mg 
Spironolactone IP 25 mg",1 Tablet,M/s Pure and CureHealthcare Pvt. Ltd.,M/s RPG Life Sciences Ltd.,3.71,3709(E),08-07-2026,07-07-2027
27,"Trypsin-Chymotrypsin, Aceclofenac and Paracetamol Tablets","Each film coated tablet contains: 
50,000 Armour units of enzymatic activity (Supplied by a purified concentrate which has specific Trypsin & Chymotrypsin activity in a ratio of approximately Six to One) (As enteric coated granules) 
Aceclofenac IP 100 mg
Paracetamol IP 325 mg",1 Tablet,M/s SynokemPharmaceuticals Limited,M/s Medley Pharmaceuticals Limited,13.02,3709(E),08-07-2026,07-07-2027
28,Vitamin D3 Oral Solution,"Each 5 ml contains: 
Cholecalciferol IP 60000 IU 
(In Nano Droplet Form)",1 ML,"M/s Tirupati Medicare Ltd.
M/s Windlas Biotech Limited
M/s Tirupati Medicare Ltd.","M/s German Remedies Pharmaceuticals Pvt. Ltd.
M/s FDC Limited
M/s Aristo Laboratories Pvt. Ltd",15.88,3709(E),08-07-2026,07-07-2027
29,Tenecteplase (TNK-TPA) Injection,"Each vial contains: 
Tenecteplase 50 mg (10000 units)",1 Vial,M/s Boehringer Ingelheim India Pvt. Ltd.,M/s Boehringer Ingelheim India Pvt. Ltd.,"60,238.27",3709(E),08-07-2026,07-07-2027
30,Netarsudil & Latanoprost Ophthalmic Solution,"Each ml contains:
Netarsudil Mesylate
Eq. to Netarsudil 0.2 mg
Latanoprost IP 0.05 mg
Benzalkonium Chloride IP 0.2 mg
(As preservative)",1 ML,M/s Pure and Cure Healthcare Pvt. Ltd,M/s Sun Pharma Laboratories Ltd.,362.57,3709(E),08-07-2026,07-07-2027
31,Imatinib Oral Solution,"Each ml contains:
Imatinib Mesylate IP
Eq. to Imatinib 80 mg",1 ML,M/s Beta Drugs Ltd.,M/s Beta Drugs Ltd.,59.61,3709(E),08-07-2026,07-07-2027
32,"Amlodipine, Bisoprolol & Telmisartan Tablets","Each film coated tablet contains: 
Amlodipine Besylate IP 
eq. to Amlodipine 5 mg 
Bisoprolol FumarateIP 2.5 mg 
Telmisartan IP 40 mg",1 Tablet,M/s Ravenbhel Healthcare Pvt. Ltd.,"M/s GlenmarkPharmaceuticals Ltd.
M/s Torrent Pharmaceuticals Ltd.",12.81,3709(E),08-07-2026,07-07-2027
33,"Amlodipine, Bisoprolol & Telmisartan Tablets","Each film coated tablet contains:
Amlodipine Besylate IP 
eq. to Amlodipine 5 mg 
Bisoprolol FumarateIP 5 mg 
Telmisartan IP 40 mg",1 Tablet,M/s Ravenbhel Healthcare Pvt. Ltd.,"M/s GlenmarkPharmaceuticals Ltd.
M/s Torrent Pharmaceuticals Ltd.",14.74,3709(E),08-07-2026,07-07-2027
34,Nepafenac& Moxifloxacin Ophthalmic Solution,"Composition:
Nepafenac IP 0.1% w/v 
Moxifloxacin Hydrochloride IP 
Eq. Moxifloxacin 0.5% w/v 
Benzalkonium Chloride Solution IP 0.01% w/v 
(As Preservative)",1 ML,M/s Akums Drugs & Pharmaceuticals Ltd.,M/s Cipla Ltd.,68.64,3709(E),08-07-2026,07-07-2027
