Sr. No.,Drug  Name,Schedule Name,Rules,Notification No,Notification Date,w.e.f.,D&C Rule Page No ,Notes,Remarks
1,Aminopterin,SCHEDULE G,(See rule 97),G.S.R. 360(E),01-07-2024,,501-502,Note.—Preparations containing the above substances excluding those intended for topical or external use are also covered by this Schedule.],
2,L-Asparaginase,SCHEDULE G,(See rule 97),G.S.R. 360(E),01-07-2024,,501-502,Note.—Preparations containing the above substances excluding those intended for topical or external use are also covered by this Schedule.],
3,Bleomycin,SCHEDULE G,(See rule 97),G.S.R. 360(E),01-07-2024,,501-502,Note.—Preparations containing the above substances excluding those intended for topical or external use are also covered by this Schedule.],
4,Busulphan; its salts,SCHEDULE G,(See rule 97),G.S.R. 360(E),01-07-2024,,501-502,Note.—Preparations containing the above substances excluding those intended for topical or external use are also covered by this Schedule.],
5,Carbutamide,SCHEDULE G,(See rule 97),G.S.R. 360(E),01-07-2024,,501-502,Note.—Preparations containing the above substances excluding those intended for topical or external use are also covered by this Schedule.],
6,Chlorambucil; its salts,SCHEDULE G,(See rule 97),G.S.R. 360(E),01-07-2024,,501-502,Note.—Preparations containing the above substances excluding those intended for topical or external use are also covered by this Schedule.],
7,"Chlorothiazide and other derivatives of 1, 2, 4 benzothiadiazine",SCHEDULE G,(See rule 97),G.S.R. 360(E),01-07-2024,,501-502,Note.—Preparations containing the above substances excluding those intended for topical or external use are also covered by this Schedule.],
8,Chlorpropamide; its salts,SCHEDULE G,(See rule 97),G.S.R. 360(E),01-07-2024,,501-502,Note.—Preparations containing the above substances excluding those intended for topical or external use are also covered by this Schedule.],
9,Chlorthalidone and other derivatives of Chlorobenzene compound,SCHEDULE G,(See rule 97),G.S.R. 360(E),01-07-2024,,501-502,Note.—Preparations containing the above substances excluding those intended for topical or external use are also covered by this Schedule.],
10,[Cis-Platin],SCHEDULE G,(See rule 97),G.S.R. 360(E),01-07-2024,,501-502,Note.—Preparations containing the above substances excluding those intended for topical or external use are also covered by this Schedule.],
11,Cyclophosphamide; its salts,SCHEDULE G,(See rule 97),G.S.R. 360(E),01-07-2024,,501-502,Note.—Preparations containing the above substances excluding those intended for topical or external use are also covered by this Schedule.],
12,[Cytarabine],SCHEDULE G,(See rule 97),G.S.R. 360(E),01-07-2024,,501-502,Note.—Preparations containing the above substances excluding those intended for topical or external use are also covered by this Schedule.],
